"id","author","type","dose","cases","n","logRR","se"
1,"LeGrady et al.","ci",0,57,249,0,0
1,"LeGrady et al.","ci",2,136,655,-0.287682072451781,0.139118722720248
1,"LeGrady et al.","ci",4,144,619,-0.174353387144778,0.137319812668239
1,"LeGrady et al.","ci",6,115,387,0.0861776962410524,0.140140887102381
2,"Rosengren et al.","ci",0,17,192,0,0
2,"Rosengren et al.","ci",1.5,88,1121,-0.120357580622388,0.253153652515509
2,"Rosengren et al.","ci",3.5,155,2464,-0.341834179762598,0.244255941229304
2,"Rosengren et al.","ci",5.5,155,1986,-0.126170699714306,0.244055904064926
2,"Rosengren et al.","ci",7.5,39,575,-0.266526366696139,0.278418913302732
2,"Rosengren et al.","ci",9.5,24,427,-0.510825623765991,0.28025823690513
3,"Klatsky et al.","ci",0,832,34755,0,0
3,"Klatsky et al.","ci",0.5,564,18106,-0.0408219945202552,0.0587187698907117
3,"Klatsky et al.","ci",2,2081,53596,-0.0618754037180875,0.0435269176098886
3,"Klatsky et al.","ci",5,658,15541,-0.0725706928348354,0.0575383396287691
3,"Klatsky et al.","ci",8,274,5522,-0.127833371509885,0.0750610900504949
4,"Woodward","ci",0,139,1646,0,0
4,"Woodward","ci",1.5,101,1619,-0.301105092783922,0.125976331362446
4,"Woodward","ci",3.5,67,1268,-0.301105092783922,0.143956385030967
4,"Woodward","ci",5.5,65,1112,-0.261364764134408,0.145162136933343
5,"Woodward","ci",0,72,1558,0,0
5,"Woodward","ci",1.5,63,1603,-0.083381608939051,0.168808251931009
5,"Woodward","ci",3.5,30,1296,-0.261364764134408,0.21402983147263
5,"Woodward","ci",5.5,36,1343,-0.23572233352107,0.200699318645567
6,"Kleemola et al.","ci",0,172,1712,0,0
6,"Kleemola et al.","ci",-1.505,73,545,0.457424847038875,0.139088533286562
6,"Kleemola et al.","ci",3.5,621,5280,-0.0304592074847086,0.0840508166148577
6,"Kleemola et al.","ci",7.5,335,2538,0.00995033085316809,0.0952051647678426
7,"Kleemola et al.","ci",0,87,1786,0,0
7,"Kleemola et al.","ci",-1.505,19,369,0.113328685307003,0.248821338837796
7,"Kleemola et al.","ci",3.5,289,6732,-0.23572233352107,0.120404538380032
7,"Kleemola et al.","ci",7.5,49,1500,-0.478035800943,0.17390777671845
8,"Iwai et al.","ir",0,132,4685,0,0
8,"Iwai et al.","ir",0.505,71,4162,-0.356674943938732,0.151033434614433
8,"Iwai et al.","ir",2.005,43,4858,-0.843970070294529,0.189269730798311
9,"Iwai et al.","ir",0,61,4367,0,0
9,"Iwai et al.","ir",0.505,31,4981,-0.356674943938732,0.225685049096639
9,"Iwai et al.","ir",2.005,23,5303,-0.27443684570176,0.264674642012314
12,"Andersen et al.","ir",0,436,40836,0,0
12,"Andersen et al.","ir",0.5,453,43635,-0.0943106794712413,0.0669296593029314
12,"Andersen et al.","ir",2,2039,204806,-0.162518929497775,0.0542248576488961
12,"Andersen et al.","ir",4.5,817,80170,-0.210721031315653,0.0597432110971415
12,"Andersen et al.","ir",6.5,520,40788,-0.139262067333508,0.0700093994137144
13,"Paganini-Hill et al.","ci",0,4733,5502,0,0
13,"Paganini-Hill et al.","ci",0.495,1207,1476,-0.105360515657826,0.0310451364738571
13,"Paganini-Hill et al.","ci",1,2087,2473,-0.0408219945202552,0.0265971965113289
13,"Paganini-Hill et al.","ci",2.5,2674,3301,-0.116533816255952,0.0256743688213488
