"id","author","year","type","dose","cases","n","logrr","se","gender","area"
1,"LeGrady et al.",1987,"ci",0.5,57,249,0,0,"M","USA"
1,"LeGrady et al.",1987,"ci",2.5,136,655,-0.287682072451781,0.139118722720248,"M","USA"
1,"LeGrady et al.",1987,"ci",4.5,144,619,-0.174353387144778,0.137319812668239,"M","USA"
1,"LeGrady et al.",1987,"ci",6.5,115,387,0.0861776962410524,0.140140887102381,"M","USA"
2,"Rosengren et al.",1991,"ci",0,17,192,0,0,"M","Europe"
2,"Rosengren et al.",1991,"ci",1.5,88,1121,-0.120357580622388,0.253153652515509,"M","Europe"
2,"Rosengren et al.",1991,"ci",3.5,155,2464,-0.341834179762598,0.244255941229304,"M","Europe"
2,"Rosengren et al.",1991,"ci",5.5,155,1986,-0.126170699714306,0.244055904064926,"M","Europe"
2,"Rosengren et al.",1991,"ci",7.5,39,575,-0.266526366696139,0.278418913302732,"M","Europe"
2,"Rosengren et al.",1991,"ci",9.5,24,427,-0.510825623765991,0.28025823690513,"M","Europe"
3,"Klatsky et al.",1993,"ci",0,832,34755,0,0,"M/F","USA"
3,"Klatsky et al.",1993,"ci",0.5,564,18106,-0.0408219945202552,0.0587187698907117,"M/F","USA"
3,"Klatsky et al.",1993,"ci",2,2081,53596,-0.0618754037180875,0.0435269176098886,"M/F","USA"
3,"Klatsky et al.",1993,"ci",5,658,15541,-0.0725706928348354,0.0575383396287691,"M/F","USA"
3,"Klatsky et al.",1993,"ci",8,274,5522,-0.127833371509885,0.0750610900504949,"M/F","USA"
4,"Woodward",1999,"ci",0,139,1646,0,0,"M","Europe"
4,"Woodward",1999,"ci",1.5,101,1619,-0.301105092783922,0.125976331362446,"M","Europe"
4,"Woodward",1999,"ci",3.5,67,1268,-0.301105092783922,0.143956385030967,"M","Europe"
4,"Woodward",1999,"ci",5.5,65,1112,-0.261364764134408,0.145162136933343,"M","Europe"
5,"Woodward",1999,"ci",0,72,1558,0,0,"F","Europe"
5,"Woodward",1999,"ci",1.5,63,1603,-0.083381608939051,0.168808251931009,"F","Europe"
5,"Woodward",1999,"ci",3.5,30,1296,-0.261364764134408,0.21402983147263,"F","Europe"
